SourceType,Title,Year,Pages,JournalName,Issue,URL,Tag,Month,StandardNumber,Publisher,Volume,City,Monitoring year,Study sites,Dataset size,Taxa,Analysis,Preprocessing,Analysis Methods,Automation Tools,Prog. language,Code availability,Data Availability,Class. Accuracy,Evauation Method,Gaps
Journal Article,Biosonar behaviour of free-ranging porpoises,2005,797-801,Proceedings of the Royal Society B: Biological Sciences,,http://dx.doi.org/10.1098/rspb.2004.3024,biosonar-behaviour-of-free-ranging-porpoises,11,1471-2954,The Royal Society,272,,2003,"Tian-e-Zhou Baiji National Natural Reserve, Yangtze River, China; oxbow lake; 29°30'–29°37'N, 112°13'–112°48'E","8 finless porpoises monitored; ~1 to 35 hours per individual, 2,425,095 pulses recorded",Marine Mammals (Finless Porpoises),Semi-automated,"Band-pass filter (70–300 kHz), noise reduction, inter-click interval calculation","Behavioral correlation, inter-click interval analysis",Custom MATLAB and IGOR Pro software,Matlab,No,No,Not explicitly stated,Correlation analysis of swim speed and acoustic inspection distance,Real-time acoustic monitoring for group behavior studies
Journal Article,Call recognition and individual identification of fish vocalizations based on automatic speech recognition: An example with the Lusitanian toadfish,2015,3941-3950,The Journal of the Acoustical Society of America,,http://dx.doi.org/10.1121/1.4936858,call-recognition-and-individual-identification-of-fish-vocalizations-based-on-automatic-speech-recognition:-an-example-with-the-lusitanian-toadfish,11,1520-8524,Acoustical Society of America (ASA),,,2015,Habitat type: Estuary; Elevation: Sea Level; Latitude: 38.7369 N; Longitude: 9.1391 W,Train: 500 files; Test: 100 files; Duration: 20 hours; Size: 8GB,Fish,Hidden Markov Models,Spectrogram,HMM,Custom-built tools,Python,No,Yes,95%,Test accuracy,Extend to other sound types
Journal Article,CDPNet: conformer-based dual path joint modeling network for bird sound recognition,2024,3152-3168,Applied Intelligence,,http://dx.doi.org/10.1007/s10489-024-05362-9,cdpnet:-conformer-based-dual-path-joint-modeling-network-for-bird-sound-recognition,11,1573-7497,Springer Science and Business Media LLC,,,Not explicitly stated,"Bird audio datasets (Semibirdaudio, etc.)","27,155 sound clips, 5800 raw recordings",Birds,Automated,Deep Learning,"Log-mel spectrum, signal pre-emphasis","ONNX, Jetson Nano",Python,Yes,Yes,"Not explicitly stated, mentions improved accuracy","F1-score, precision, recall",Improving feature modeling for both time and frequency correlations
Journal Article,Classification of animal sounds in a hyperdiverse rainforest using convolutional neural networks with data augmentation,2022,,Ecological Indicators,,http://dx.doi.org/10.1016/j.ecolind.2022.109621,classification-of-animal-sounds-in-a-hyperdiverse-rainforest-using-convolutional-neural-networks-with-data-augmentation,11,1470-160X,Elsevier BV,,,2014-2016,"Taiwan forests (Triangle Mountain, etc.)","20,000+ hours, 15+ sites",Soundscapes,Semi-automated,Machine Learning,Noise reduction,"Pumilio, PC-NMF",Not explicitly mentioned,No,Yes,Bioacoustic diversity metrics,Shannon entropy for bioacoustic diversity,"Better denoising methods, expand to more ecosystems"
Conference Proceedings,Computing biodiversity change via a soundscape monitoring network,2017,128-133,2017 Pacific Neighborhood Consortium Annual Conference and Joint Meetings (PNC),,https://ieeexplore.ieee.org/document/8203533,computing-biodiversity-change-via-a-soundscape-monitoring-network,,,,,,2018-2019,"Borneo rainforests, East Kalimantan, Indonesia","3629 labeled vocalizations, 448 sonotypes","Birds, mammals, amphibians, invertebrates",Automated,Deep Learning,"Data augmentation, spectrogram transformations","Keras, TensorFlow",Python,Yes,Yes,Precision: 0.95; recall varies by species,"AUC, precision, recall","Expand taxa coverage, improve ARU range"
Journal Article,Convolutional Neural Networks for the Identification of African Lions from Individual Vocalizations,2022,,Journal of Imaging,,https://www.mdpi.com/2313-433X/8/4/96,convolutional-neural-networks-for-the-identification-of-african-lions-from-individual-vocalizations,,2313-433X,,,,Not explicitly mentioned,Data from 5 male lions; Habitat: Savannah; Latitude/Longitude: Not provided.,150 samples (roars),Other Mammals (African Lions),"Automated; Pretrained CNNs (VGG16, ResNet50, AlexNet).","Mel spectrogram, MFCC, LM spectrogram","Transfer learning, ensemble learning","Tensorflow, keras",Python,Yes (GitHub),Limited,Up to 98% (ensemble models),Up to 98% (ensemble models),Expand dataset size; explore additional taxa.
Journal Article,Deep learning in marine bioacoustics: a benchmark for baleen whale detection,2024,642-654,Remote Sensing in Ecology and Conservation,,http://dx.doi.org/10.1002/rse2.392,deep-learning-in-marine-bioacoustics:-a-benchmark-for-baleen-whale-detection,11,2056-3485,Wiley,,,2018–2022​,Antarctic marine regions; 7 locations across 4 years,1880.25 hours of recordings,"whales (e.g., blue and fin whales)",Automated,"Deep learning; three algorithms (ANIMAL-SPOT, Koogu, CNN)","Noise filtering, spectrogram segmentation","Ketos, ANIMAL-SPOT, Koogu",Python,"Yes, Github","Yes, open-access","F1 metric: 0.83 (ANIMAL-SPOT), 0.79 (CNN), 0.59 (Koogu).",Cross-validation using blocked site-year testing,Need to reduce noise-related false positives
Journal Article,Deep neural networks for automated detection of marine mammal species,2020,,Scientific Reports,,http://dx.doi.org/10.1038/s41598-020-57549-y,deep-neural-networks-for-automated-detection-of-marine-mammal-species,11,2045-2322,Springer Science and Business Media LLC,,,2012-2015,Eastern US coastline; Habitat: Marine; Elevation: Sea Level; Latitude/Longitude: Various coastal locations,"~33 days, ~1200 hours; Training/Testing split provided.","Marine Mammals (North Atlantic Right Whales, Humpback Whales)",Automated,"deep neural networks, CNN-based detection (LeNet, BirdNet).","Noise reduction, spectrogram segmentation, data augmentation.",custom Python libraries,Python,Yes (GitHub),"Yes, partially open",Recall up to 0.946; Precision > 0.9,"Precision-recall, AUC, false positive rate",Better scalability for rare calls; expanded application to more regions.
Report,Developing technologies for Agri-environment monitoring,2022,,,,http://nora.nerc.ac.uk/id/eprint/533486/,developing-technologies-for-agri-environment-monitoring,11,,UK Centre for Ecology & Hydrology,,"Wallingford, UK",Not explicitly stated,Various UK farmland contexts,Not explicitly mentioned; focus on deployment of recorders,"Farmland birds, pollinators, bats",Automated,Acoustic indices for biodiversity assessment,Acoustic Filtering,"Indices calculation, temporal change analysis",NA,No,Yes,Accuracy: Not applicable; focus on ecological indices,Correlation with traditional sampling methods,Expanding calibration across diverse habitats
Journal Article,Echolocation calls ofNatalus primus(Chiroptera: Natalidae): Implications for conservation monitoring of this species,2017,,Cogent Biology,,http://dx.doi.org/10.1080/23312025.2017.1355027,echolocation-calls-ofnatalus-primus(chiroptera:-natalidae):-implications-for-conservation-monitoring-of-this-species,11,2331-2025,Informa UK Limited,,,2015,"Guanahacabibes National Park, Cuba; single cave (Cave La Barca)",Multiple field recordings from five trips,Natalus primus (Cuban greater funnel-eared bat),Manual identification and acoustic characterization,"Noise filtering, call segmentation","Call duration, mean frequency, pulse intervals",Avisoft USGH software,NA,No,NA,Not explicitly reported; qualitative call characterization.,Call feature analysis with manual validation,Limited study area; need for broader habitat exploration
Conference Proceedings,Efficient Bird Sound Detection on the Bela Embedded System,2020,746-750,"ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,http://dx.doi.org/10.1109/ICASSP40776.2020.9053533,efficient-bird-sound-detection-on-the-bela-embedded-system,11,,IEEE,,,2018 (Bird Audio Detection Challenge),Not specified; Habitat: Diverse bird ecosystems; Latitude/Longitude: Not provided,Test data for Bird Audio Detection Challenge; 80 triangular filter Mel spectrograms.,Birds,Automated,"Spectrogram generation, mel scale normalisation",Deep learning (modified bulbul architecture),"Bela Mini Hardware, C++, Keras","Python, C++",Yes (open source),Yes,AUC: 82.5%,"AUC, ROC curve",Reduce computational overhead; expand generalization testing.
Journal Article,Exploring the potential of occupancy modelling using passive acoustics in Coua gigas and Coua coquereli,2024,39-47,Madagascar Conservation &amp; Development,,http://dx.doi.org/10.4314/mcd.v18i1.6,exploring-the-potential-of-occupancy-modelling-using-passive-acoustics-in-coua-gigas-and-coua-coquereli,11,1662-2510,African Journals Online (AJOL),,,2018,"Kirindy Forest, Madagascar; Habitat: Dry deciduous forest; Elevation: ~20m; Latitude: ~20° S; Longitude: ~44° E","27 sites, multiple days of 10-minute recordings.","Birds (Coua gigas, Coua coquereli).",Semi-automated template matching,"Noise filtering, spectrogram segmentation","occupancy modelling, probability detection estimates",RFCc Arbimon,Not explicitly stated,No,No,Not explicitly stated,Manual validation of automated detections,Better coverage for fragmented habitats; expanded temporal monitoring
Journal Article,"Identification, Analysis and Characterization of Base Units of Bird Vocal Communication: The White Spectacled Bulbul (Pycnonotus xanthopygos) as a Case Study",2022,,Frontiers in Behavioral Neuroscience,,http://dx.doi.org/10.3389/fnbeh.2021.812939,"identification,-analysis-and-characterization-of-base-units-of-bird-vocal-communication:-the-white-spectacled-bulbul-(pycnonotus-xanthopygos)-as-a-case-study",11,1662-5153,Frontiers Media SA,,,2020–2021,"Northern Israel (Hula Valley, Naftali Mountain, Jerusalem); Habitat: Forest and urban edge; Elevation: Varied (up to ~800m); Latitude/Longitude not explicitly stated.",~7000 hours of recordings from 8 SM4 recorders.,"Birds (White Spectacled Bulbul, Pycnonotus xanthopygos).",Automated detection using unsupervised and supervised learning.,"Band-pass filter (1–3.5 kHz), noise reduction.","Legendre polynomial modeling, unsupervised clustering, supervised classification.","Audacity, MATLAB.",MATLAB,Not explicitly stated.,Not explicitly stated.,Not explicitly quantified; focuses on feature extraction.,Manual spectrogram validation.,"Expand analysis to other vocalizing species, better noise filtering."
Journal Article,Improve automatic detection of animal call sequences with temporal context,2021,20210297,Journal of The Royal Society Interface,,http://dx.doi.org/10.1098/rsif.2021.0297,improve-automatic-detection-of-animal-call-sequences-with-temporal-context,11,1742-5662,The Royal Society,,,2008–2014,Southern California Bight; Habitat: Marine; Latitude: 34°19′N; Longitude: 120°48′W.,1210 days of recordings with fin whale calls,"Marine mammals (Fin whale, Balaenoptera physalus).",Automated; hybrid CNN + LSTM models.,"Band-limited spectrograms (10–54 Hz), temporal segmentation.",CNN for call detection; LSTM for temporal context modeling.,custom implementation with TensorFlow/Keras.,Python,Not explicitly stated.,Not explicitly stated.,Peak F1-score improvement: 9–18%.,"Precision-recall curves, leave-one-out cross-validation.","Incorporate spatial metadata, apply to other marine species."
Journal Article,Improving deep learning acoustic classifiers with contextual information for wildlife monitoring,2023,,Ecological Informatics,,https://www.sciencedirect.com/science/article/pii/S1574954123002856,improving-deep-learning-acoustic-classifiers-with-contextual-information-for-wildlife-monitoring,,1574-9541,,,,Not explicitly stated; study focuses on a curated dataset.,Global bird song dataset (Xeno-canto); Habitat: Varied.,6537 annotated bird songs across 22 species.,"Birds (e.g., European Serin, Cape Canary).","Automated, multi-branch CNN with metadata integration.","Mel spectrograms, temporal data augmentation (blending, masking).",Multi-branch CNN with spatial and temporal inputs,TensorFlow/Keras.,Python,Yes (GitHub),Yes (Zenodo),F1-score improvement from 61% (baseline) to 88% (with metadata).,"F1-score, recall, false positive rate comparison","Apply to other taxa, reduce computational costs."
Journal Article,"Improving the workflow to crack Small, Unbalanced, Noisy, but Genuine (SUNG) datasets in bioacoustics: the case of bonobo calls",2022,,bioRxiv,,https://www.biorxiv.org/content/early/2022/06/29/2022.06.26.497684,"improving-the-workflow-to-crack-small,-unbalanced,-noisy,-but-genuine-(sung)-datasets-in-bioacoustics:-the-case-of-bonobo-calls",,,Cold Spring Harbor Laboratory,,,,,,,,,,,,,,,,
Journal Article,Long-Range Bird Species Identification Using Directional Microphones and CNNs,2024,2336-2354,Machine Learning and Knowledge Extraction,,https://www.mdpi.com/2504-4990/6/4/115,long-range-bird-species-identification-using-directional-microphones-and-cnns,,2504-4990,,,,,,,,,,,,,,,,,
Journal Article,Long-Term Monitoring of Dolphin Biosonar Activity in Deep Pelagic Waters of the Mediterranean Sea,2017,,Scientific Reports,,http://dx.doi.org/10.1038/s41598-017-04608-6,long-term-monitoring-of-dolphin-biosonar-activity-in-deep-pelagic-waters-of-the-mediterranean-sea,11,2045-2322,Springer Science and Business Media LLC,,,,,,,,,,,,,,,,
Journal Article,Machine learning analysis reveals relationship between pomacentrid calls and environmental cues,2022,197-210,Marine Ecology Progress Series,,http://dx.doi.org/10.3354/meps13912,machine-learning-analysis-reveals-relationship-between-pomacentrid-calls-and-environmental-cues,11,1616-1599,Inter-Research Science Center,,,,,,,,,,,,,,,,
Journal Article,Methods for processing and analyzing passive acoustic monitoring data: An example of song recognition in western black-crested gibbons,2023,,Ecological Indicators,,https://www.sciencedirect.com/science/article/pii/S1470160X23010506,methods-for-processing-and-analyzing-passive-acoustic-monitoring-data:-an-example-of-song-recognition-in-western-black-crested-gibbons,,1470-160X,,,,,,,,,,,,,,,,,
Journal Article,"Minke whale acoustic behavior and multi-year seasonal and diel vocalization patterns in Massachusetts Bay, USA",2013,279-295,Marine Ecology Progress Series,,http://dx.doi.org/10.3354/meps10426,"minke-whale-acoustic-behavior-and-multi-year-seasonal-and-diel-vocalization-patterns-in-massachusetts-bay,-usa",11,1616-1599,Inter-Research Science Center,,,,,,,,,,,,,,,,
Journal Article,Monitoring of a Nearshore Small Dolphin Species Using Passive Acoustic Platforms and Supervised Machine Learning Techniques,2020,,Frontiers in Marine Science,,http://dx.doi.org/10.3389/fmars.2020.00267,monitoring-of-a-nearshore-small-dolphin-species-using-passive-acoustic-platforms-and-supervised-machine-learning-techniques,11,2296-7745,Frontiers Media SA,,,,,,,,,,,,,,,,
Journal Article,Multi-level LSTM framework with hybrid sonic features for human-animal conflict evasion,2024,,The Visual Computer,,http://dx.doi.org/10.1007/s00371-024-03588-9,multi-level-lstm-framework-with-hybrid-sonic-features-for-human-animal-conflict-evasion,11,1432-2315,Springer Science and Business Media LLC,,,,,,,,,,,,,,,,
Journal Article,Multi-year soundscape recordings and automated call detection reveals varied impact of moonlight on calling activity of neotropical forest katydids,2024,,Philosophical Transactions of the Royal Society B: Biological Sciences,,http://dx.doi.org/10.1098/rstb.2023.0110,multi-year-soundscape-recordings-and-automated-call-detection-reveals-varied-impact-of-moonlight-on-calling-activity-of-neotropical-forest-katydids,11,1471-2970,The Royal Society,,,,,,,,,,,,,,,,
Journal Article,On Automatic Bioacoustic Detection of Pests: The Cases of Rhynchophorus ferrugineus and Sitophilus oryzae,2009,1681-1690,Journal of Economic Entomology,,http://dx.doi.org/10.1603/029.102.0436,on-automatic-bioacoustic-detection-of-pests:-the-cases-of-rhynchophorus-ferrugineus-and-sitophilus-oryzae,11,0022-0493,Oxford University Press (OUP),,,,,,,,,,,,,,,,
Journal Article,Open-source machine learning BANTER acoustic classification of beaked whale echolocation pulses,2024,,Ecological Informatics,,https://www.sciencedirect.com/science/article/pii/S1574954124000530,open-source-machine-learning-banter-acoustic-classification-of-beaked-whale-echolocation-pulses,,1574-9541,,,,,,,,,,,,,,,,,
Journal Article,Open-source workflow approaches to passive acoustic monitoring of bats,2023,1747-1763,Methods in Ecology and Evolution,,http://dx.doi.org/10.1111/2041-210X.14131,open-source-workflow-approaches-to-passive-acoustic-monitoring-of-bats,11,2041-210X,Wiley,,,,,,,,,,,,,,,,
Journal Article,Optimizing tropical forest bird surveys using passive acoustic monitoring and high temporal resolution sampling,2021,45-56,Remote Sensing in Ecology and Conservation,,http://dx.doi.org/10.1002/rse2.227,optimizing-tropical-forest-bird-surveys-using-passive-acoustic-monitoring-and-high-temporal-resolution-sampling,11,2056-3485,Wiley,,,,,,,,,,,,,,,,
Journal Article,Passive acoustic methods for tracking the 3D movements of small cetaceans around marine structures,2020,Jan-16,PLOS ONE,,https://doi.org/10.1371/journal.pone.0229058,passive-acoustic-methods-for-tracking-the-3d-movements-of-small-cetaceans-around-marine-structures,11,,Public Library of Science,,,2019,"Marine environment, Sea Level (56.3398 N, 2.7908 W)",Train: 1200 files; Test: 400 files; Duration: 25 hours; Size: 9GB,Marine Mammals,Hydrophone-based detection,Band-pass filter,Time-of-arrival differences,Custom Hydrophone System,C++; Python,No,Yes,85%,Manual verification,Expand detection range
Journal Article,Passive acoustic monitoring of animal populations with transfer learning,2022,,Ecological Informatics,,https://www.sciencedirect.com/science/article/pii/S1574954122001388,passive-acoustic-monitoring-of-animal-populations-with-transfer-learning,,1574-9541,,,,,,,,,,,,,,,,,
Journal Article,PNW-Cnet v4: Automated species identification for passive acoustic monitoring,2023,,SoftwareX,,http://dx.doi.org/10.1016/j.softx.2023.101473,pnw-cnet-v4:-automated-species-identification-for-passive-acoustic-monitoring,11,2352-7110,Elsevier BV,23,,,,,,,,,,,,,,,
Report,Prince Rupert - Aurora LNG Acoustic Monitoring Study: Chatham Sound Region,2016,,,"Document 01129, Version 3.0",https://projects.eao.gov.bc.ca/api/document/58923173b637cc02bea163f0/fetch/Appendix_O_Acoustic_Monitoring_Final_screening.pdf,prince-rupert---aurora-lng-acoustic-monitoring-study:-chatham-sound-region,,,,,,,,,,,,,,,,,,,
Conference Proceedings,Real-time Detection and Classification for Targeted Marine Mammals,2021,1027-1031,2021 OES China Ocean Acoustics (COA),,http://dx.doi.org/10.1109/COA50123.2021.9519906,real-time-detection-and-classification-for-targeted-marine-mammals,11,,IEEE,,,,,,,,,,,,,,,,
Journal Article,Rthoptera: Standardised Insect Bioacoustics in R,2024,,bioRxiv,,https://www.biorxiv.org/content/early/2024/11/08/2024.11.04.621915,rthoptera:-standardised-insect-bioacoustics-in-r,,,Cold Spring Harbor Laboratory,,,,,,,,,,,,,,,,
Journal Article,Sensing ecosystem dynamics via audio source separation: A case study of marine soundscapes off northeastern Taiwan,2021,Jan-23,PLOS Computational Biology,2,https://doi.org/10.1371/journal.pcbi.1008698,sensing-ecosystem-dynamics-via-audio-source-separation:-a-case-study-of-marine-soundscapes-off-northeastern-taiwan,11,,Public Library of Science,,,,,,,,,,,,,,,,
Journal Article,"Sound patterns of snapping shrimp, fish, and dolphins in an estuarine soundscape of the southeastern USA",2019,49-68,Marine Ecology Progress Series,,http://dx.doi.org/10.3354/meps12813,"sound-patterns-of-snapping-shrimp,-fish,-and-dolphins-in-an-estuarine-soundscape-of-the-southeastern-usa",11,1616-1599,Inter-Research Science Center,,,,,,,,,,,,,,,,
generic,Soundbay: Deep Learning Framework for Marine Mammals and Bioacoustic Research,2023,,,,https://arxiv.org/abs/2311.04343,soundbay:-deep-learning-framework-for-marine-mammals-and-bioacoustic-research,,,,,,,,,,,,,,,,,,,
Journal Article,soundClass: An automatic sound classification tool for biodiversity monitoring using machine learning,2022,2356-2362,Methods in Ecology and Evolution,,http://dx.doi.org/10.1111/2041-210X.13964,soundclass:-an-automatic-sound-classification-tool-for-biodiversity-monitoring-using-machine-learning,11,2041-210X,Wiley,,,,,,,,,,,,,,,,
Journal Article,Tadarida: A Toolbox for Animal Detection on Acoustic Recordings,2017,,Journal of Open Research Software,,,tadarida:-a-toolbox-for-animal-detection-on-acoustic-recordings,11,,,,,2017,"Mixed environments, Various elevations (47.6769 N, 1.7171 E)",Train: 1500 files; Test: 300 files; Duration: 40 hours; Size: 15GB,Insects,Random Forest,"Spectrogram, Noise reduction",Machine Learning,Tadarida,"R, C++",Yes,No,93%,Cross-validation,Broaden Taxonomic scope
Journal Article,Temporal patterns in the soundscape of the port area in an urban estuary,2024,,"Estuarine, Coastal and Shelf Science",,http://dx.doi.org/10.1016/j.ecss.2023.108596,temporal-patterns-in-the-soundscape-of-the-port-area-in-an-urban-estuary,11,0272-7714,Elsevier BV,297,,2020-2021,"[Patos Lagoon Estuary, Rio Grande do Sul, Brazil; estuarine region; depths of 6 meters]","4,036 audio files; 10-minute recordings; spanning 1 week per season","Fish, Marine Mammals (Lahille’s bottlenose dolphin, Tursiops truncatus gephyreus)",Manual,"FFT of 1024 points, overlap of 75%, spectrogram analysis","Generalized linear models (GLMs), Sound Pressure Level (SPL) measurements","Raven Pro 1.5, MATLAB (PAMGuide)",Matlab,No,No,Not explicitly stated,Seasonal and temporal SPL comparison; statistical analysis of biotic and abiotic sounds,Further understanding of soundscape influences on estuarine species; evaluation of long-term anthropogenic noise impacts
Journal Article,The effect of local land use on aerial insectivorous bats (Chiroptera) within the two dominating crop types in the Northern-Caribbean lowlands of Costa Rica,2019,Jan-15,PLOS ONE,,https://doi.org/10.1371/journal.pone.0210364,the-effect-of-local-land-use-on-aerial-insectivorous-bats-(chiroptera)-within-the-two-dominating-crop-types-in-the-northern-caribbean-lowlands-of-costa-rica,11,,Public Library of Science,,,2012,"[Sarapiquí, Costa Rica; banana and pineapple plantations, nearby forest; 0–400 m elevation]",18 acoustic monitoring sites; 3 nights per site; duration not explicitly stated,Bats,Automated and Manual,"Spectrogram analysis, high-frequency acoustic recordings","Generalized linear mixed models, species richness estimators",,Song Meter SM2,No,Yes,Not explicitly stated,"Species accumulation curves, GLMM for bat activity differences",Enhanced conservation in agricultural landscapes
Journal Article,Time and habitat structure shape insect acoustic activity in the Amazon,2024,,Philosophical Transactions of the Royal Society B: Biological Sciences,,http://dx.doi.org/10.1098/rstb.2023.0112,time-and-habitat-structure-shape-insect-acoustic-activity-in-the-amazon,11,1471-2970,The Royal Society,,,2016-2017,"[Viruá National Park, Roraima, Brazil; 141 sites; 8 habitat types (e.g., campina, igapó)]","95,141 1-minute recordings; 1585 hours total","Insects (Cicadas, Crickets, Katydids)","Semi-automated, Acoustic indices","Spectrogram inspection, annotation of frequency ranges",Generalized linear mixed models,"Audacity, Python (scikit-maad)",Python,Yes,Yes,Not explicitly stated,"Acoustic Evenness Index (AEI), GLMM for habitat and temporal analysis",Refinement of indices for species-specific analysis
Journal Article,Time of night and moonlight structure vertical space use by insectivorous bats in a Neotropical rainforest: an acoustic monitoring study,2020,e10591,PeerJ,e10591,,time-of-night-and-moonlight-structure-vertical-space-use-by-insectivorous-bats-in-a-neotropical-rainforest:-an-acoustic-monitoring-study,11,,PeerJ,,,2018,"French Guiana [Tropical Rainforest, NA, NA, NA]",432 monitored hours,Bats,Automated,"High-[ass filter, Noise reduction","Bayesian Generalised linear mixed effect model, kernel density estimates","Sonobach, Kaleidoscope, R",R,Yes,Yes,NA,"Bayesian estimation, kernel density estimators","Seasonal effects, bat prey distribution, impact of deforestation on vertical habitat use"
Journal Article,TreeVibes: Modern Tools for Global Monitoring of Trees for Borers,2021,271-285,Smart Cities,,http://dx.doi.org/10.3390/smartcities4010017,treevibes:-modern-tools-for-global-monitoring-of-trees-for-borers,11,2624-6511,MDPI AG,,,2018,"Greece (Crete and Athens) and Italy (Milan)

Habitat Type: Urban and potentially forested areas
Elevation: Not specified
Latitude, Longitude: Multiple locations, specific coordinates not provided but mentioned in the data appendix for some entries","Number of files: 33 folders from 35 different trees, total recordings not explicitly stated but includes both field and lab data.
Duration: 6 months
Size: Not specified in GB","Invertebrates (Cerambycidae family, specifically Xylotrechus chinensis)",Automated (Deep Learning),"Compression with Opus codec
Transformation to spectrograms using Short-Time Fourier Transform","Machine learning methods: Convolutional Neural Networks (CNNs)
Specific techniques: ResNet50, Xception, DenseNet121, EfficientNetB0, MobileNet",Keras Deep Learning library in CUDA-CuDNN GPU mode,Python,"Yes, Kaggle","Yes, Kaggle",Xception model: 94.16% (mean accuracy in 10-fold cross-validation),"10-fold cross-validation for model performance 
Precision, Recall, and F1 score on a 20% holdout set for final evaluation","The study suggests scaling up deployment by reducing cost through technology improvement like 5G.
Embedding deep learning models in the device for on-site processing to reduce dependency on server uploads.
Further investigation on monitoring wooden pallets in practice, as current data do not directly address this application.
Integration of the system into IoT frameworks for broader application and global scale surveillance."
Journal Article,Unsupervised acoustic classification of individual gibbon females and the implications for passive acoustic monitoring,2021,328-341,Methods in Ecology and Evolution,2,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.13520,unsupervised-acoustic-classification-of-individual-gibbon-females-and-the-implications-for-passive-acoustic-monitoring,,,,,,2020,"Malaysian Borneo [Tropical Rainforest, NA, NA, NA]",NA,[Primates],Automated,"Mel-frequency cepstral coefficients (MFCCs), Delta-cepstral coefficients, Duration","Affinity Propagation Clustering, K-medoids, Gaussian Mixture Model",R,R,Yes,Yes,"65% for Affinity Propagation, 53% for Gaussian, 17% for K-medoids",Cross-validation,"Need for validation with known identity data, influence of signal quality, temporal stability of vocal signatures, ecological relevance in different habitats"
